,제목,가사,가수,발매일,좋아요수,장르
1571,먼지가 되어,"바하의 선율에
젖은 날에는
잊었던 기억들이
피어 나네요
바람에 날려간
나의 노래도
휘파람 소리로
돌아오네요
내 조그만 공간 속에
추억만 쌓이고
까닭 모를 눈물만이
아른거리네
작은 가슴은
모두 모두와
시를 써봐도
모자란 당신
먼지가 되어
날아가야지
바람에 날려
당신 곁으로
작은 가슴은
모두 모두어
시를 써봐도
모자란 당신
먼지가 되어
날아가야지
바람에 날려
당신 곁으로
작은 가슴은
모두 모두어
시를 써봐도
모자란 당신
먼지가 되어
날아가야지
바람에 날려
당신 곁으로
씁 뚜르르 씁 뚜르르 씁 뚜르르 뚜르
씁 뚜르르 씁 뚜르르 씁 뚜르르 뚜르",영탁,2020.04.17,"8,912",성인가요/트로트
1572,살다보면,"살다보면
괜시리 외로운 날 너무도 많아
나도 한번 꿈같은 사랑
해봤으면 좋겠네
살다보면
하루 하루 힘든 일이 너무도 많아
가끔 어디 혼자서 훌쩍
떠났으면 좋겠네
수많은 근심걱정 멀리 던져 버리고
언제나 자유롭게 아름답게 그렇게
우-
내일은 오늘보다
나으리란 꿈으로 살지만
오늘도 맘껏 행복했으면
그랬으면 좋겠네
살다보면
괜시리 외로운 날 너무도 많아
나도 한번 꿈같은 사랑
해봤으면 좋겠네
살다보면
하루 하루 힘든 일이 너무도 많아
가끔 어디 혼자서
훌쩍 떠났으면 좋겠네
수많은 근심걱정 멀리 던져버리고
언제나 자유롭게 아름답게 그렇게
우-
내일은 오늘보다
나으리란 꿈으로 살지만
오늘도 맘껏 행복했으면
그랬으면 좋겠네
그랬으면 좋겠네
그랬으면 좋겠네-",영탁,2021.03.02,"7,113",성인가요/트로트
1573,떠날 수 없는 당신,"나를 너무 모르시는
모르시는 당신이여
짙은 안개 때문입니까 무심한 탓입니까
사랑에 눈먼 당신이기에
이 가슴 멍들기 전에
모두 다 잊고 모두 다 잊고
어디론가 떠나고 싶지만
미련이 많아 미련이 많아
떠날 수 없는 당신
나를 너무 모르시는
모르시는 당신이여
흐린 달빛 때문입니까
무심한 탓입니까
사랑에 귀먼 당신이기에
이 가슴 멍들기 전에
모두 다 잊고 모두 다 잊고
어디론가 떠나고 싶지만
너무 정들어 너무 정들어
떠날 수 없는 당신
떠날 수 없는 당신",이찬원,2021.09.14,"4,163",성인가요/트로트
1574,한잔의 인생,"한잔의 인생
한세상 치고받고 살다가 보면
그냥저냥 살고픈 날들 있지만
세월속 청춘을 지나
아등바등 달려오니
술한잔이 간절하구나
당신도 마셔 본적 있는가
한잔의 맹물같은 인생
인생아 눈물을 마셔라
꿈 찾아 헤매던 그 열정 삼키네
인생아 사랑을 마셔라
님찾아 헤매던 그순정 삼키네
빈잔술에 채워나 보자
한잔의 눈물같은 인생
당신도 마셔 본적 있는가
한잔의 맹물같은 인생
인생아 눈물을 마셔라
꿈 찾아 헤매던 그 열정 삼키네
인생아 사랑을 마셔라
님찾아 헤매던 그순정 삼키네
빈잔술에 채워나 보자
한잔의 눈물같은 인생
빈잔술에 채워나 보자
한잔의 눈물같은 인생",이경,2015.01.04,111,성인가요/트로트
1575,쌈바의 여인,"이 밤 그대는 불타오르는
영원한 나만의 사랑
내 마음을 사로잡는 그대
삼바 춤을 추고 있는 그대
화려한 불빛 음악에 젖어
사랑에 취해버린 그대
사랑 사랑한다고
좋아 좋아한다고
눈빛 하나로 몸짓 하나로
내 마음 사로잡는 밤
쌈바 쌈바 쌈바 쌈바
춤을 추고 있는 그대
쌈바 쌈바 쌈바 쌈바
사랑스런 나의 그대
이 밤 그대는 불타오르는
영원한 나만의 사랑
사랑 사랑한다고
좋아 좋아한다고
젖은 머릿결 젖은 눈동자
내 마음 사로잡는 밤
쌈바 쌈바 쌈바 쌈바
춤을 추고 있는 그대
쌈바 쌈바 쌈바 쌈바
사랑스런 나의 그대
이 밤 그대는 불타오르는
영원한 나만의 사랑
쌈바 쌈바 쌈바 쌈바
춤을 추고 있는 그대
쌈바 쌈바 쌈바 쌈바
사랑스런 나의 그대
이 밤 그대는 불타오르는
영원한 나만의 사랑
영원한 나만의 사랑",이승현,2023.01.11,21,성인가요/트로트
1576,잘살꺼야,"잘 사는 날이 올 꺼야
잘 사는 날이 올 꺼야
포기는 하지 말아요
저 높은 하늘을 봐요
우리의 꿈이 있잖아
이리 보고 저리 봐도
우리 사이 좋은 사이
잘 살 꺼야 잘 살 꺼야
우리 모두 잘 살 꺼야
잘 사는 날이 올 꺼야

잘 사는 날이 올 꺼야
잘 사는 날이 올 꺼야
포기는 하지 말아요
저 높은 하늘을 봐요
우리의 꿈이 있잖아
이리 보고 저리 봐도
우리 사이 좋은 사이
잘 살 꺼야 잘 살 꺼야
우리 모두 잘 살 꺼야
잘 사는 날이 올 꺼야
잘 살 꺼야 잘 살 꺼야
우리 모두 잘 살 꺼야
잘 사는 날이 올 꺼야
잘 사는 날이 올 꺼야",태진아,2005.02.01,461,성인가요/트로트
1577,동해의 꿈,"목마른 그대여
길을 떠나요
세상은 그댈 부르고 있소
메마르고 삭막한 도시에
바라는것 무엇도 없소
가자 저 동해 바다
푸른 물결 넘어서
갈매기가 날던 꿈을 찾아서
우리 앞길을 떠나자

가자 내 님 찾아
대관령 길 넘어서
동해 바다 햇살 넘실 거리는
정동진 옛 사랑을
가자 저 동해 바다
푸른 물결 넘어서
살아서 숨쉬던 고래를 타고
그대여 길을 떠나자",한승기,2006.09.14,616,성인가요/트로트
1578,내 삶을 눈물로 채워도,"간간이 너를 그리워 하지만
어쩌다 너를 잊기도 하지
때로는 너를 미워도 하지만
가끔은 눈시울 젖기도 하지
어쩌면 지금 어딘가 혼자서
나처럼 저달을 볼지도 몰라
초저녁 작게 빛나는 저별을
나처럼 보면서 울지도 몰라
루 루 루 루 루
아마난 평생을 못잊을것같아 너를
인연이라는 만남도 있지만
숙명이라는 이별도 있지
우리의 만남이 인연이었다면
그인연 또한번 너였음 좋겠어
어쩌면 우리 언젠가 또다시
우연을 핑계로 만날지 몰라
내삶의 전부 눈물로 채워도
널 기다리면서 살른지 몰라
루 루 루 루 루
아마난 평생을 못잊을것같아 너를
루 루 루 루 루
아마난 평생을 못잊을것같아 너를
루 루 루 루 루
아마난 평생을 못잊을것같아 너를",나훈아,2018.02.05,"1,110",성인가요/트로트
1579,아버지,"잊지마오 잊지마오
나를 잊지마오
아버지 아버지
뜨거운 그 이름
눈물의 흔적을
청춘의 그 길을
하염없이 눈물로
부르는 아리랑
돌아가리 돌아가리
내 고향 땅으로
마중 나온 홀 어머니
울고 가는 성황당길
진달래 살구꽃
피고 또 지건만
저 하늘에 새가 되어
날아 가련다
아 그 이름
우리 아버지
돌아가리 돌아가리
내 고향 땅으로
마중 나온 홀 어머니
울고가는 성황당길
진달래 살구꽃
피고 또 지건만
저 하늘에 새가 되어
날아 가련다
아 그 이름
우리 아버지
아버지 아버지
우리 아버지",조항조,2019.05.10,195,성인가요/트로트
1580,묻지마세요,"묻지 마세요
물어보지 마세요
내 나이 묻지 마세요
흘러간 내 청춘
잘한 것도 없는데
요놈의 숫자가 따라오네요
여기까지 왔는데
앞만 보고 왔는데
지나가는 세월에 서러운 눈물
서산 넘어가는 청춘
너 가는 줄 몰랐구나
세월아 가지를 말어라
묻지 마세요
물어보지 마세요
내 나이 묻지 마세요
흘러간 내 청춘 잘한 것도 없는데
요놈의 숫자가 따라오네요
여기까지 왔는데
앞만 보고 왔는데
지나가는 세월에 서러운 눈물
서산 넘어가는 청춘
너 가는 줄 몰랐구나
세월아 가지를 말어라
여기까지 왔는데
앞만 보고 왔는데
지나가는 세월에 서러운 눈물
서산 넘어 가는 청춘
너 가는 줄 몰랐구나
세월아 가지를 말어라
세월아 가지를 말어라",양지은,2021.07.28,981,성인가요/트로트
1581,밤차,"멀리 기적이 우네
나를 두고 멀리 간다네
이젠 잊어야 하네
잊지 못할 사람이지만
언젠가는 또 만나겠지
헤어졌다 또 만난다네
기적 소리 멀어져 가네
내님 실은 마지막 밤차
멀리 기적이 우네
그렇지만 외롭지 않네
언젠가는 또 만나겠지
헤어졌다 또 만난다네
기적 소리 멀어져 가네
내님 실은 마지막 밤차
멀리 기적이 우네
그렇지만 외롭지 않네",이은하,1990.11.01,333,성인가요/트로트
1582,길면 3년 짧으면 1년,"안녕하며 돌아서는 그대 두 눈에
슬픈 이슬 맺히는 걸 나는 보았네
가면은 아니 오고
모른 체 있는 것은 아니지만은
길면 3년 짧으면 1년
잠깐만 당신 곁을 떠나 있는 것이라오
외로워도 참고 살아요
그리워도 참고 살아요
아아 돌아갈 그날까지
안녕하며 돌아서는 그대 입술에
슬픈 미소 머금은 걸 나는 보았네
가시면 아니오고
모른 체 있는 것은 아닌 줄 알지만
길면 3년 짧으면 1년
잠깐만 당신 곁을 떠나있는 것이라오
외로워도 참고 살아주
그리워도 참고 살아주
아아 돌아올 그날까지
아아 돌아올 그날까지",성민지,2021.01.22,424,성인가요/트로트
1583,가야한다면,"가야 한다면 어차피 가야 한다면
나는 나만의 길을 가겠소
너는 너대로 나는 나대로
나는 나대로 너는 너대로
어차피 가는 길이 다른 것을
때로는 돌아가 보고
가끔은 쉬었다 가더라도
결국엔 살다가보면
같은 곳을 향하는 것을
가야 한다면 어차피 가야 한다면
나는 나만의 길을 가겠소
너는 너대로 나는 나대로
나는 나대로 너는 너대로
어차피 가는 길이 다른 것을
가야 한다면 어차피 가야 한다면
나는 나만의 길을 가겠소
너는 너대로 나는 나대로
나는 나대로 너는 너대로
어차피 가는 길이 다른 것을
때로는 돌아가 보고
가끔은 쉬었다 가더라도
결국엔 살다가 보면
같은 곳을 향하는 것을
가야 한다면 어차피 가야 한다면
나는 나만의 길을 가겠소
너는 너대로 나는 나대로
나는 나대로 너는 너대로
어차피 가는 길이 다른 것을
어차피 가는 길이 다른 것을",황윤성,2022.05.06,575,성인가요/트로트
1584,당신만을 사랑해,"어느 꿈같은 봄날에
처음 그대를 만난 날부터
나는 알게되었어요
사랑의 기쁨과 슬픔
그대 내곁을 떠나
멀리있다 하여도
이마음 깊은 곳에
언제나 살고있오
파도 소리 들리는
바닷가에 서 서
목 메게 그려보는
다정한 그 얼굴
울며울며 날으는
갈매기여 내 마음을
수평선 아득한 곳에
계시는 내님에게 말해줘요
오 당신만을
사랑해 당신만을 사랑해
정말정말 사랑해
울며울며 날으는
갈매기여 내 마음을
수평선 아득한 곳에
계시는 내님에게 말해줘요
오 당신만을
사랑해 당신만을 사랑해
정말정말 사랑해",혜은이,1988.08,475,성인가요/트로트
1585,남자라는 이유로,"누구나 웃으면서 세상을 살면서도
말 못할 사연 숨기고 살아도
나 역시 그런 저런 슬픔을 간직하고
당신 앞에 멍하니 서 있네
언제 한번 가슴을 열고 소리 내어
소리 내어 울어 볼 날이
남자라는 이유로
묻어두고 지낸
그 세월이 너무 길었어

저마다 처음인듯 사랑을 하면서도
쓰라린 이별 숨기고 있어도
당신도 그런 저런 과거가 있겠지만
내 앞에선 미소를 짓네
언제 한번 가슴을 열고 소리 내어
소리 내어 울어 볼 날이
남자라는 이유로 묻어두고 지낸
그 세월이 너무 길었어
언제 한번 그런날 올까요
가슴을 열고
소리 내어 울어 울어 볼 날이
남자라는 이유로
묻어두고 지낸
그 세월이 너무 길어요",조항조,2008.11.20,665,성인가요/트로트
1586,정말 진짜로,"아니야 거짓말
사랑 따윈 이제 안 믿어
남자는 다 그래
하나같이 똑같다고요
나를 사랑한다했니
책임질 수 있는 거니
무심코 던진 너의 한 마디
자꾸 신경 쓰이게 해
책임 질 수 없는 말은
애초부터 꺼내지 마
내 마음을 떠보려 한다면
실수한 거야
사랑 한다는 것이 어디 장난인거니
여자의 맘도 잘 모르면서
사랑은 무슨 사랑
정말 진짜로 정말 진짜로
나를 원한다면은
그리 쉽게 사랑을 말하지 마
정말 진짜로 정말 진짜로
나를 생각한다면
너의 진실을 보여 봐
아니야 거짓말
사랑 따윈 이제 안 믿어
남자는 다 그래
하나같이 똑같다고요
나를 사랑한다했니
책임질 수 있는 거니
무심코 던진 너의 한 마디
자꾸 신경 쓰이게 해
책임 질 수 없는 말은
애초부터 꺼내지 마
내 마음을 떠보려 한다면
실수한 거야
사랑 한다는 것이 어디 장난인거니
여자의 맘도 잘 모르면서
사랑은 무슨 사랑
정말 진짜로 정말 진짜로
나를 원한다면은
그리 쉽게 사랑을 말하지 마
정말 진짜로 정말 진짜로
나를 생각한다면
너의 진실을 보여 봐
너의 진실을 보여 봐",한혜진,2010.10.28,325,성인가요/트로트
1587,케 세라 세라,"그 날 케 세라 세라
누구나 가슴 한편엔 꿈이
남아 있겠지
사는게 녹록지 않아 잠시
묻어뒀겠지
현실이 힘들게 하지만 사랑이
나를 외롭게 하지만
케 세라 세라 아직 끝이
아니야 오라 온다
내 꿈속에 사는 날 그날
케세라세라
저 하늘 아래 점하나
안되는 나이지만
내 마음만은 이 세상 한껏
품고 남는다
현실이 힘들게 하지만 사랑이
나를 외롭게 하지만
케 세라 세라 아직 끝이
아니야 오라 온다
내 꿈속에 사는 날 그날
케세라세라
케 세라 세라 아직 끝이
아니야 오라 온다
내 꿈속에 사는 날 그날
케세라세라
그날 케세라세라",장윤정,2012.10.17,764,성인가요/트로트
1588,잘 될 거야,"저 푸른 바다로
훌쩍 떠나볼까 와아
하얀 파도 타고 타고 타고 타고
근심 걱정 잊고
시원한 밤바다
훌쩍 떠나볼까 와아
등댓불 반짝반짝 반짝반짝
모두 다 함께
세상이 우리를 힘들게 하여도
이 또한 지나간다 믿어보자
하나 둘 셋 호우
Hello Hello Hello
잘 될 거야
걱정하지 말아요 걱정하지 마
Hello Hello Hello
잘 될 거야
우리 함께 힘내요 힘내세요
저 푸른 들판을
힘껏 달리고파 와아
하얀 구름 타고 타고 타고 타고
근심 걱정 잊고
시원한 밤바람
힘껏 달리고파 와아
별들도 반짝반짝 반짝반짝
모두 다 함께
세상이 우리를 힘들게 하여도
이 또한 지나간다 믿어보자
하나 둘 셋 호우
Hello Hello Hello
잘 될 거야
걱정하지 말아요 걱정하지 마
Hello Hello Hello
잘 될 거야
우리 함께 힘내요 힘내세요
우리 함께 힘내요 힘내세요",다섯장,2020.08.15,"4,888",성인가요/트로트
